Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
252,hlak,be crooked,hliihlak,,intransitive verb,,1,1,,,,,
253,g_awk_'aw,crow,,,noun,,2,,,,,,
254,maa'ya g_aak_,crowberry,,,noun,,"1,3",,,,,,
255,ap hetxw,cry; wail,,,intransitive verb,,2,,,,,,
256,dimootxw,cure; heal; save,,,transitive verb,,2,,,,,,
257,mootxw,be cured; be healed; be saved,,,intransitive verb,,1,,,,,,
258,sg_a 'yag_a,curtain,,,noun,,2,,,,,,
259,k_'ots,cut,g_ask_'ots,,transitive verb,,1,2,,,,,
260,sa'oohlxw,cut firewood,,,intransitive verb,,2,,,,,,
261,andilg_an,dam,,,noun,,3,,,,,,
262,miiluxw,dance,,,intransitive verb,,1,,,,,,
263,halayt,dance (of a shaman),,,intransitive verb,,2,,,,,,
264,sk_'eex_xw,be dark (of evening and night),,,intransitive verb,,1,,,,,,
265,sa,day,,,noun,,1,,,,,,
266,g_ado'ohl ky'oots,day before yesterday,,,adverb,,"2,4",,,,,,
267,.'misaax; .'mis haax,daylight,,,noun,,2,,,,,,
268,dok_',be deaf,dax_dok_',,intransitive verb,,1,2,,,,,
269,hlap,be deep,hliphlap,,intransitive verb,,1,2,,,,,
270,wan,deer,,,noun,,1,,,,,,
271,umk_xw,detest; dislike,,,transitive verb,,1,,,,,,
272,hu'ums; .'wums,devil's club,,,noun,,2; 1,,,,,,
273,xsi 'yans,dew,,,noun,,2,,,,,,
274,.'mii winst,dewberry,,,noun,,2,,,,,,
275,.'nu'w,die,daxw,,intransitive verb,,1,1,,,,,
276,lixs gyat,be different; be strange,,,intransitive verb,,2,,,,,,
277,g_etxw; g_ag_etxw,be difficult; be expensive,,,intransitive verb,,1; 2,,,,,,
278,wok_'esxw,dig (a hole),,,intransitive verb,,1,,,,,,
279,wok_',dig,,,transitive verb,,1,,,,,,
280,limx'oo'y,dirge; mourning song,,,noun,,2,,,,,,
281,ts'eet'ixs,dirt; earth,,,noun,,1,,,,,check if plural also works for noun version,
,ts'eet'ixs,be dirty,jits'eet'ixs,,intransitive verb,,1,2,,,,check if plural also works for noun version,
282,x_sink_,disbelieve,,,transitive verb,,1,,,,,,
